subject_id,run_id,file_relpath,n_events,n_unique,unique_trigger_codes
1,1,BCI_Harmony_ExperimentalData/offline_data/Sub_1/Sub_1_run_1_10172023_1801_offline/Sub_1_run_1_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
1,2,BCI_Harmony_ExperimentalData/offline_data/Sub_1/Sub_1_run_2_10172023_1811_offline/Sub_1_run_2_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
1,3,BCI_Harmony_ExperimentalData/offline_data/Sub_1/Sub_1_run_3_10172023_1821_offline/Sub_1_run_3_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
1,4,BCI_Harmony_ExperimentalData/offline_data/Sub_1/Sub_1_run_4_10172023_1829_offline/Sub_1_run_4_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
1,5,BCI_Harmony_ExperimentalData/offline_data/Sub_1/Sub_1_run_5_10172023_1839_offline/Sub_1_run_5_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
1,6,BCI_Harmony_ExperimentalData/offline_data/Sub_1/Sub_1_run_6_10172023_1847_offline/Sub_1_run_6_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
2,1,BCI_Harmony_ExperimentalData/offline_data/Sub_2/Sub_2_run_1_10232023_1821_offline/Sub_2_run_1_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
2,2,BCI_Harmony_ExperimentalData/offline_data/Sub_2/Sub_2_run_2_10232023_1831_offline/Sub_2_run_2_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
2,3,BCI_Harmony_ExperimentalData/offline_data/Sub_2/Sub_2_run_3_10232023_1840_offline/Sub_2_run_3_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
2,4,BCI_Harmony_ExperimentalData/offline_data/Sub_2/Sub_2_run_4_10232023_1849_offline/Sub_2_run_4_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
2,5,BCI_Harmony_ExperimentalData/offline_data/Sub_2/Sub_2_run_5_10232023_1858_offline/Sub_2_run_5_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
