phase,scheme,run,mean,sd,ci_low,ci_high,n
ONSET,TASK,1,0.7161635698899915,0.3119057203640265,0.500023932928919,0.932303206851064,8
ONSET,TASK,2,0.70032594575459,0.3167532470497521,0.4808271441818872,0.9198247473272927,8
ONSET,TASK,3,0.6726745882139595,0.31793239608873813,0.4523586780453901,0.892990498382529,8
ONSET,TASK,4,0.6813293184120075,0.27427510126039295,0.4912663700803937,0.8713922667436214,8
ONSET,TASK,5,0.4010078850516066,0.28086816081546806,0.20637617954223564,0.5956395905609776,8
ONSET,TASK,6,0.3975971722736915,0.2831403225756606,0.20139093899550736,0.5938034055518757,8
ONSET,TASK,7,0.4270473716252817,0.32256883715243145,0.20351857171833718,0.6505761715322262,8
ONSET,TASK,8,0.43865892549517205,0.3448910802142197,0.19966160033674837,0.6776562506535957,8
ONSET,FIX,1,0.9602967987523264,0.05624257279215356,0.9213226842318708,0.9992709132727821,8
ONSET,FIX,2,0.8963048260931235,0.22316802131702224,0.7416572773002181,1.0509523748860288,8
ONSET,FIX,3,0.9143556512834726,0.10518169723235939,0.8414684537411552,0.98724284882579,8
ONSET,FIX,4,0.9587025622547702,0.03129337931143539,0.9370173567517587,0.9803877677577818,8
ONSET,FIX,5,0.9032025013687568,0.08312337514181431,0.8456009411756245,0.9608040615618891,8
ONSET,FIX,6,0.9116684877261618,0.10477172588736934,0.8390653858316164,0.9842715896207073,8
ONSET,FIX,7,0.9067076193677261,0.10394452799242247,0.8346777363692628,0.9787375023661895,8
ONSET,FIX,8,0.9080565056787997,0.12886287129187532,0.8187590917478185,0.9973539196097809,8
OFFSET,TASK,1,0.6981397418996191,0.32663158370539497,0.47179560226758865,0.9244838815316496,8
OFFSET,TASK,2,0.5764935010226422,0.3733634131919241,0.3177658557339771,0.8352211463113073,8
OFFSET,TASK,3,0.6479714724585822,0.31969797061693644,0.42643208156286516,0.8695108633542993,8
OFFSET,TASK,4,0.6881762090727945,0.2667555885529042,0.5033240171993307,0.8730284009462583,8
OFFSET,TASK,5,0.6655436894248875,0.2857146929651358,0.4675535084822132,0.8635338703675618,8
OFFSET,TASK,6,0.5751649322120971,0.33155690158958484,0.3454077214181648,0.8049221430060294,8
OFFSET,TASK,7,0.4600953704988807,0.38866303952530784,0.1907656250708588,0.7294251159269026,8
OFFSET,TASK,8,0.5172513914628974,0.33203260201225987,0.2871645370941721,0.7473382458316228,8
OFFSET,FIX,1,0.9268050654548041,0.1055662881309181,0.8536513600167803,0.9999587708928279,8
OFFSET,FIX,2,0.9072844636146598,0.13574305346925836,0.8132193266797207,1.0013496005495988,8
OFFSET,FIX,3,0.9215288180576542,0.10369696882608549,0.8496704848091474,0.993387151306161,8
OFFSET,FIX,4,0.9457814628707599,0.04575310059995676,0.914076181730111,0.9774867440114089,8
OFFSET,FIX,5,0.925804462826691,0.13743095465230032,0.8305696700467002,1.0210392556066819,8
OFFSET,FIX,6,0.8814319088137821,0.2115433044803763,0.7348398778033511,1.028023939824213,8
OFFSET,FIX,7,0.8352711419508826,0.30740417917963464,0.6222509138811385,1.0482913700206267,8
OFFSET,FIX,8,0.9085731516269815,0.15237302896542507,0.802984029616623,1.0141622736373401,8
